Year,AllVehicles,TwoWheelers,Cars_Jeeps and Taxis,Buses,Goods Vehicles
1951,306.0,27.0,159.0,34.0,82.0
1956,426.0,41.0,203.0,47.0,119.0
1959,562.0,67.0,267.0,48.0,148.0
1960,605.0,76.0,282.0,54.0,157.0
1961,665.0,88.0,310.0,57.0,168.0
1962,749.0,116.0,340.0,60.0,189.0
1963,847.0,140.0,375.0,63.0,215.0
1964,906.0,168.0,388.0,67.0,224.0
1965,1006.0,202.0,428.0,70.0,242.0
1966,1099.0,226.0,456.0,73.0,259.0
1967,1191.0,286.0,482.0,76.0,266.0
1968,1332.0,347.0,522.0,83.0,285.0
1969,1474.0,417.0,574.0,86.0,298.0
1970,1658.0,503.0,628.0,92.0,322.0
1971,1865.0,576.0,682.0,94.0,343.0
1972,2045.0,656.0,740.0,100.0,364.0
1973,2109.0,734.0,709.0,95.0,308.0
1974,2327.0,838.0,768.0,105.0,323.0
1975,2472.0,946.0,766.0,114.0,335.0
1976,2700.0,1057.0,779.0,115.0,351.0
1977,3260.0,1415.0,878.0,119.0,383.0
1978,3614.0,1618.0,919.0,124.0,403.0
1979,4059.0,1888.0,996.0,133.0,444.0
1980,4521.0,2117.0,1059.0,140.0,473.0
1981,5391.0,2618.0,1160.0,162.0,554.0
1982,6055.0,3065.0,1243.0,173.0,613.0
1983,6973.0,3654.0,1385.0,185.0,675.0
1984,7949.0,4351.0,1455.0,199.0,742.0
1985,9170.0,5179.0,1607.0,223.0,822.0
1986,10577.0,6245.0,1780.0,227.0,863.0
1987,12618.0,7739.0,2007.0,245.0,984.0
1988,14818.0,9300.0,2295.0,269.0,1114.0
1989,16920.0,10965.0,2486.0,278.0,1179.0
1990,19152.0,12611.0,2694.0,298.0,1238.0
1991,21374.0,14200.0,2954.0,331.0,1356.0
1992,23507.0,15661.0,3205.0,358.0,1514.0
1993,25346.0,17060.0,3344.0,380.0,1592.0
1994,27660.0,18899.0,3569.0,392.0,1691.0
1995,30295.0,20831.0,3841.0,423.0,1794.0
1996,33786.0,23252.0,4204.0,449.0,2031.0
1997,37332.0,25729.0,4672.0,484.0,2343.0
1998,41368.0,28642.0,5138.0,538.0,2536.0
1999,44875.0,31328.0,5556.0,540.0,2554.0
2000,48857.0,34118.0,6143.0,562.0,2715.0
2001,54991.0,38556.0,7058.0,634.0,2948.0
2002,58924.0,41581.0,7613.0,635.0,2974.0
2003,67007.0,47519.0,8599.0,721.0,3492.0
2004,72718.0,51922.0,9451.0,768.0,3749.0
2005,81499.0,58799.0,10320.0,892.0,4031.0
2006,89618.0,64743.0,11526.0,992.0,4436.0
2007,96707.0,69129.0,12649.0,1350.0,5119.0
2008,105353.0,75336.0,13950.0,1427.0,5601.0
2009,114951.0,82402.0,15313.0,1486.0,6041.0
2010,127746.0,91598.0,17109.0,1527.0,6432.0
2011,141866.0,101865.0,19231.0,1604.0,7064.0
2012,159491.0,115419.0,21568.0,1677.0,7658.0
2013,176044.0,127830.0,24056.0,1814.0,8307.0
2014,190704.0,139410.0,25998.0,1887.0,8698.0
2015,210023.0,154298.0,28611.0,1971.0,9344.0
2016,230031.0,168975.0,30242.0,1757.0,10516.0
2017,253311.0,187091.0,33688.0,1864.0,12256.0
2018,272587.0,202755.0,36453.0,1943.0,12773.0
2019,295772.0,221270.0,38433.0,2049.0,13766.0
